,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 USCIS Field Office or Service Center Location ,, Applications by Category of Admission and Case Status ,,,,,,,,,,,,,,,, Total ,,,,,,,,,,,,,,,,,,,,,,,,
,,Family-based1,,,,Employment-based1,,,,Humanitarian-based1,,,,Others1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,,,,,,,,,,,,,,,,,,,,,
,,,,,   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Total ,," 74,115 "," 77,717 "," 7,943 "," 144,730 "," 35,152 "," 41,641 "," 2,434 "," 374,759 "," 38,388 "," 39,913 "," 1,287 "," 66,472 "," 6,627 "," 4,814 ", 965 ," 17,773 "," 154,282 "," 164,085 "," 12,629 "," 603,734 ",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Field Office by State6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Seattle  ," 1,177 "," 1,122 ", 64 ," 1,933 ", -   , 10 , D , 117 , D , 24 , D , 73 , D , 54 , D , 29 ," 1,194 "," 1,210 ", 81 ," 2,152 ",,,,,,,,,,,,,,,,,,,,,
, Spokane  , 62 , 60 , 10 , 93 , -   , -   , -   , D , D , D , -   , D , -   , D , -   , -   , 63 , 63 , 10 , 103 ,,,,,,,,,,,,,,,,,,,,,
, Yakima , 133 , 179 , 11 , 255 , -   , -   , -   , D , -   , 34 , -   , 26 , D , D , -   , D , 134 , 220 , 11 , 291 ,,,,,,,,,,,,,,,,,,,,,
 Wisconsin ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Milwaukee  , 372 , 513 , 46 , 793 , -   , 12 , D , 81 , 16 , D , -   , 56 , D , 28 , -   , 13 , 395 , 556 , 51 , 943 ,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Field Office by Territory6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Guam ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Hagatna , 136 , 135 , 39 , 279 , -   , -   , D , D , -   , D , -   , D , -   , D , -   , D , 136 , 140 , 41 , 289 ,,,,,,,,,,,,,,,,,,,,,
 U.S. Virgin Islands ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Charlotte Amalie , 19 , 20 , D , 37 , -   , -   , -   , 15 , -   , -   , -   , D , -   , -   , -   , D , 19 , 20 , D , 57 ,,,,,,,,,,,,,,,,,,,,,
, Christiansted  , 14 , 13 , D , 29 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , D , 14 , 13 , D , 30 ,,,,,,,,,,,,,,,,,,,,,
 Puerto Rico ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
