,,,,,,,,,"Number of I-485 Applications to Register Permanent Residence or Adjust Status by Category of              
Admission, Case Status, and USCIS Field Office or Service Center Location              
July 1 - September 30, 2017  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 USCIS Field Office or Service Center Location ,,, Applications by Category of Admission and Case Status ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,, Family-based ,,,,Employment-based received at service center1,,,,Humanitarian-based1,,,,Others1,,,, Total ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Total ,,,"87,734","71,142","9,708","314,939","23,032","23,459","2,127","149,382","49,862","40,940","1,221","131,089","4,958","6,654","1,232","28,948","165,586","142,195","14,288","624,358",,,,,,,,,,,,,,,,,,,,,,,,,
Field Office by State6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Alabama ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Wichita , WIC , 210 , 167 , 15 , 822 , -   , -   , D , D , 60 , 19 , D , 332 , -   , D , D , 19 , 270 , 189 , 19 ," 1,180 ",,,,,,,,,,,,,,,,,,,,,,,,,
 Kentucky ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Louisville  , LOU , 323 , 285 , 53 , 859 , D , D , D , 28 , 523 , 505 , 12 ," 1,184 ", D , D , -   , 74 , 852 , 794 , 66 ," 2,145 ",,,,,,,,,,,,,,,,,,,,,,,,,
 Louisiana ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, New Orleans  , NOL , 535 , 283 , 32 ," 2,154 ", -   , D , D , 44 , 90 , 43 , -   , 342 , D , 27 , D , 38 , 629 , 355 , 34 ," 2,578 ",,,,,,,,,,,,,,,,,,,,,,,,,
 Maine ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Portland  , POM , 112 , 122 , D  , 354 , -   , -   , -   , 12 , -   , D , -   , 20 , D , D , D , 11 , 113 , 131 , D , 397 ,,,,,,,,,,,,,,,,,,,,,,,,,
 Maryland ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Baltimore  , BAL ," 1,885 "," 1,702 ", 188 ," 8,097 ", -   , 37 , D , 344 , 27 , 20 , D , 254 , 18 , 191 , 19 , 593 ," 1,930 "," 1,950 ", 218 ," 9,288 ",,,,,,,,,,,,,,,,,,,,,,,,,
 Massachusetts ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Boston  , BOS ," 2,034 "," 1,654 ", 245 ," 5,026 ", -   , 37 , 11 , 206 , 10 , 19 , D , 88 , 27 , 51 , 21 , 144 ," 2,071 "," 1,761 ", 282 ," 5,464 ",,,,,,,,,,,,,,,,,,,,,,,,,
, Lawrence , LAW , 746 , 547 , 108 ," 1,747 ", -   , 10 , -   , 63 , D , 10 , D , 49 , D , 17 , -   , 61 , 758 , 584 , 112 ," 1,920 ",,,,,,,,,,,,,,,,,,,,,,,,,
 Michigan ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Detroit  , DET ," 1,027 "," 1,390 ", 141 ," 2,170 ", -   , 30 , D , 153 , 96 , 128 , 11 , 254 , D , 38 , D , 94 ," 1,131 "," 1,586 ", 162 ," 2,671 ",,,,,,,,,,,,,,,,,,,,,,,,,
 Minnesota ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, St. Paul  , SPM , 968 , 418 , 69 ," 5,179 ", -   , D , -   , 124 , 84 , 17 , D , 360 , D , 14 , D , 50 ," 1,054 ", 456 , 81 ," 5,713 ",,,,,,,,,,,,,,,,,,,,,,,,,
 Missouri ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Kansas City  , KAN , 504 , 616 , 33 ," 1,329 ", -   , D , -   , 38 , 51 , 645 , D , 497 , -   , D , -   , 15 , 555 ," 1,270 ", 39 ," 1,879 ",,,,,,,,,,,,,,,,,,,,,,,,,
