" U.S. Citizenship and Immigration Services
Field Offices Form I-485 Applications to Register Permanent Residence or Adjust Status 
Receipts, Completions, and Pending 
Fiscal Years: 2010 through 2013 (November 2012) ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,, I-485 Asylee , I-485 Asylee , I-485 Asylee , I-485 Asylee , I-485 Refugee , I-485 Refugee , I-485 Refugee , I-485 Refugee , I-485 Indo Chinese , I-485 Indo Chinese , I-485 Indo Chinese , I-485 Indo Chinese , I-485 Employment , I-485 Employment , I-485 Employment , I-485 Employment , I-485 Family , I-485 Family , I-485 Family , I-485 Family , I-485 Cuban Refugee , I-485 Cuban Refugee , I-485 Cuban Refugee , I-485 Cuban Refugee , I-485 All Others , I-485 All Others , I-485 All Others , I-485 All Others , Total I-485s , Total I-485s , Total I-485s 
Fiscal Year, Office , Description , Receipts , Approvals , Denials , Pending , Receipts , Approvals , Denials , Pending , Receipts , Approvals , Denials , Pending , Receipts , Approvals , Denials , Pending , Receipts , Approvals , Denials , Pending , Receipts , Approvals , Denials , Pending , Receipts , Approvals , Denials , Pending , Receipts , Completions , Pending 
2011, CHL , CHARLESTON SC  , -   ,8, -   ,8,8,2,2,4, -   , -   , -   , -   , -   ,24,3,9,"1,516","1,371",208,560,34,23,1,9,19,51,3,14,"1,577","1,696",604
2011, CHR , CHRISTIANSTED VI  , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,65,67,9,21, -   , -   , -   , -   ,1,1, -   , -   ,66,77,21
2011, CHS , CHARLESTON WV , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,9, -   , -   ,1, -   , -   , -   , -   , -   , -   , -   , -   ,9, -   ,1
2011, CIN , CINCINNATI OH  ,2,10,3,8,3,8, -   ,5, -   , -   , -   , -   , -   ,28,5,7,822,727,93,271,7,8, -   ,4,18,14,3,9,852,899,304
2011, CLE , CLEVELAND OH  , -   ,15,1,8,14,13,4,10, -   , -   , -   , -   , -   ,20,18,8,"1,215","1,065",174,370,16,15,2,5,57,64,5,17,"1,302","1,396",418
2011, CLM , COLUMBUS OH ,1,28,8,8,7,27,9,21, -   , -   , -   , -   , -   ,35,9,2,"1,124",960,218,336,7,8,1,1,43,41,5,3,"1,182","1,349",371
2011, CLT , CHARLOTTE NC  ,1,17,3,8,16,21,5,18, -   , -   , -   , -   , -   ,49,28,32,"2,528","2,384",329,"1,083",122,113,4,37,49,74,4,18,"2,716","3,031","1,196"
2011, CVC , CHULA VISTA CA ,1,24, -   ,32,8,39,1,13, -   , -   , -   , -   , -   ,96,19,10,"3,254","3,179",306,"1,121",39,22,1,15,43,36, -   ,11,"3,345","3,723","1,202"
2011, DAL , DALLAS TX  ,2,44,8,7,2,49,16,62, -   ,1, -   , -   , -   ,184,61,67,"9,693","8,896","1,238","3,504",137,79,17,70,140,230,174,22,"9,974","10,997","3,732"
2011, DEN , DENVER CO  , -   ,15,2,14,15,28,7,30, -   ,1, -   , -   , -   ,104,23,54,"4,076","3,930",571,"1,746",52,30,4,15,72,121,12,34,"4,215","4,848","1,893"
2011, DET , DETROIT MI  , -   ,59,10,3,29,76,15,25, -   , -   , -   , -   , -   ,167,29,30,"3,375","3,167",389,"1,194",88,41,8,54,58,101,10,8,"3,550","4,072","1,314"
2011, DSM , DES MOINES IA , -   ,7,1,10,6,29,13,43, -   , -   , -   , -   , -   ,15,4,1,676,522,87,362,5,1,3,5,24,59,6,19,711,747,440
2011, DVD , DOVER DE AFB  , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,1, -   , -   , -   ,1, -   , -   
2011, ELP , EL PASO TX  , -   , -   , -   ,1, -   ,1,1,1, -   , -   , -   , -   ,2,26,1,9,"3,701","3,532",591,"1,242",32,20,3,19,30,40,2,36,"3,765","4,217","1,308"
2011, FRE , FRESNO CA  , -   ,30,8,12,1,11,6,4, -   , -   , -   , -   , -   ,40,14,9,"2,719","2,416",424,"1,048",12,8,1,4,29,112,25,21,"2,761","3,095","1,098"
2011, FSA , FORT SMITH AR  , -   , -   , -   , -   , -   ,1, -   , -   , -   , -   , -   , -   , -   ,14,4,4,507,420,105,227,7,2,1,6,20,14, -   ,14,534,561,251
