"Number of I-485 Applications to Register Permanent Residence or Adjust Status by Category of Admission,  Case Status, and USCIS Field Office or Service Center Location  ",,,,,,,,,,,,,,,,,,,,,
"January 1 - March 31, 2014",,,,,,,,,,,,,,,,,,,,,
 USCIS Field Office or Service Center Location ,, Applications by Category of Admission and Case Status ,,,,,,,,,,,,,,,,,,,
,,Family-based1,Family-based1,Family-based1,Family-based1,Employment-based1,Employment-based1,Employment-based1,Employment-based1,Humanitarian-based1,Humanitarian-based1,Humanitarian-based1,Humanitarian-based1,Others1,Others1,Others1,Others1, Total , Total , Total , Total 
,,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5
,,,,,   ,,,,,,,,,,,,,,,,
 Total ,,"65,479","62,080","8,033","154,341","29,639","30,651","1,611","119,178","39,586","35,199","1,334","76,603","6,591","6,051",953,"15,759","141,295","133,981","11,931","365,881"
,,,,,,,,,,,,,,,,,,,,,
Field Office by State6,,,,,,,,,,,,,,,,,,,,,
 Oklahoma ,,,,,,,,,,,,,,,,,,,,,
, Oklahoma City  ,351,134,29,"1,191", -   , D , -   ,39, D , D , -   ,28, D , D , D ,37,366,152,30,"1,295"
 Oregon ,,,,,,,,,,,,,,,,,,,,,
, Portland  ,518,291,40,"1,152", -   , D , D ,18,47,15, D ,97, D , D , D ,25,573,315,49,"1,292"
 Pennsylvania ,,,,,,,,,,,,,,,,,,,,,
, Philadelphia ,"1,216","1,318",174,"2,515", -   , D , D ,19,46,35, D ,224,18,52, D ,34,"1,280","1,412",187,"2,792"
, Pittsburgh  ,294,177,20,490, -   , D , D , D , D , D , D ,20, D , D , D ,17,304,185,24,530
 Rhode Island ,,,,,,,,,,,,,,,,,,,,,
, Providence  ,211,297,32,396, -   , D , D , D , D , D , D ,13, D ,12, D , D ,217,317,36,417
 South Carolina ,,,,,,,,,,,,,,,,,,,,,
, Charleston  ,306,309,38,664, -   , D , -   ,38, D , D , D ,29, D , D , -   ,25,322,323,40,756
 Tennessee ,,,,,,,,,,,,,,,,,,,,,
, Memphis  ,550,467,52,"1,228", -   ,22, D ,16,46,25, D ,102, D , D , D ,11,598,523,61,"1,357"
 Texas ,,,,,,,,,,,,,,,,,,,,,
, Dallas  ,"2,118","1,690",206,"6,747", -   ,33,12,91,82,24, D ,365,39,19, D ,228,"2,239","1,766",233,"7,431"
, El Paso  ,624,694,90,"1,081", -   , D , -   , D ,22, D , D ,59, D ,11, -   ,18,649,714,91,"1,160"
, Harlingen  ,695,776,62,"1,362", -   , D , D , D ,18,18, D ,20,22,47, -   ,25,735,847,67,"1,414"
, Houston  ,"2,567","2,225",294,"5,050", -   ,44, D ,41,447,141,14,"1,023",42,37, D ,579,"3,056","2,447",323,"6,693"
, San Antonio  ,"1,447",895,111,"3,107", -   ,12, D ,28,154,58, D ,285,29,52, D ,63,"1,630","1,017",117,"3,483"
 Utah ,,,,,,,,,,,,,,,,,,,,,
, Salt Lake City  ,559,474,67,"1,275", -   ,16, -   , D , D ,13, D ,28, D ,33, D , D ,569,536,71,"1,319"
 Vermont ,,,,,,,,,,,,,,,,,,,,,
, St. Albans  ,49,168, D ,92, -   , D , -   , D , -   , D , -   , -   , -   , D , -   , D ,49,177, D ,95
 Virginia ,,,,,,,,,,,,,,,,,,,,,
, Norfolk  ,443,397,54,825, -   , D , -   ,19,16,19, D ,48, D ,15, D ,19,468,438,63,911
 Washington ,,,,,,,,,,,,,,,,,,,,,
, Seattle  ,"1,070",910,86,"1,919", -   ,32, D ,27,27,31, D ,53,13,25, D ,72,"1,110",998,103,"2,071"
, Spokane  ,69,79, D ,102, -   , -   , -   , D , D ,20, D ,14, -   , D , -   ,13,70,102, D ,133
, Yakima ,125,253,11,244, -   , -   , -   , -   , D , D , -   ,21, -   ,12, -   ,10,128,271,11,275
 Wisconsin ,,,,,,,,,,,,,,,,,,,,,
, Milwaukee  ,402,296,55,872, -   , D , D ,17, D , D , D ,32, D ,20, D , D ,414,330,64,925
,,,,,,,,,,,,,,,,,,,,,
Field Office by Territory6,,,,,,,,,,,,,,,,,,,,,
 Guam ,,,,,,,,,,,,,,,,,,,,,
, Hagatna ,144,131,12,273, -   , D , D , -   , -   , -   , -   , D , -   , D , D , -   ,144,136,15,274
 U.S. Virgin Islands ,,,,,,,,,,,,,,,,,,,,,
, Charlotte Amalie ,29,24, D ,60, -   , -   , -   , -   , -   , -   , -   , D , -   , -   , -   , D ,29,24, D ,63
, Christiansted  ,10,13, D ,25, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,10,13, D ,25
 Puerto Rico ,,,,,,,,,,,,,,,,,,,,,
, San Juan  ,147,111,23,506, -   , D , -   , D ,25, D , D ,89, -   , D , -   ,13,172,122,24,610
,,,,,,,,,,,,,,,,,,,,,
 Service Center ,,,,,,,,,,,,,,,,,,,,,
, California , -   ,37,16,424,"1,003",573,59,"1,079", -   ,18, -   ,69, -   , -   , -   , -   ,"1,003",628,75,"1,572"
, Nebraska , -   , -   , -   , -   ,"12,639","10,580",658,"48,016","20,081","18,659",456,"32,999", D ,32, D , D ,"32,722","29,271","1,121","81,016"
, Texas , -   , -   , -   , -   ,"15,992","17,992",572,"66,978","6,500","6,011",141,"11,890", D ,10, D ,21,"22,500","24,013",722,"78,889"
, Vermont ,30, -   , D ,158, D , -   , -   , D , -   , -   , -   ,17,"5,680","3,946",559,"10,397","5,715","3,946",568,"10,581"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
D  Data withheld to protect applicants' privacy.,,,,,,,,,,,,,,,,,,,,,
"""-"" Represents zero.",,,,,,,,,,,,,,,,,,,,,
"1  Family-based applications for legal permanent resident (LPR) status are based on a family relationship with an LPR or a U.S. citizen. Employment-based petitions are to 
",,,,,,,,,,,,,,,,,,,,,
"   request entrance to the U.S. for purposes of employment, either temporary or permanent resident, or for an entrepreneur who wishes to immigrate to the U.S. to create a commercial enterprise. ",,,,,,,,,,,,,,,,,,,,,
"   others includes all other I-485 applications, to include those filed under the Haitian Refugee Immigration Fairness Act (HRIFA) program and the Creation of Record for North American Indians born",,,,,,,,,,,,,,,,,,,,,
   in Canada based on Section 289 of the Immigration and Nationality Act (INA).,,,,,,,,,,,,,,,,,,,,,
2  The number of new applications received and entered into a case-tracking system during the reporting period.,,,,,,,,,,,,,,,,,,,,,
3  The number of applications approved during the reporting period.,,,,,,,,,,,,,,,,,,,,,
"4  The number of applications that were denied, terminated, or withdrawn during the reporting period.",,,,,,,,,,,,,,,,,,,,,
5  The number of applications awaiting a decision as of the end of the reporting period.,,,,,,,,,,,,,,,,,,,,,
6  Represents the office location. The office location does not reflect the complete area covered by the office’s jurisdiction. Please refer to USCIS.gov for office jurisdictions.,,,,,,,,,,,,,,,,,,,,,
"NOTE: 1) Some applications approved, denied, or awating a decision may have been received in previous reporting periods. ",,,,,,,,,,,,,,,,,,,,,
           2) The report reflects the most up-to-date estimate available at the time the report is generated.,,,,,,,,,,,,,,,,,,,,,
"Source:  Department of Homeland Security, U.S. Citizenship and Immigration Services, Performance Analysis System (PAS), April 2014",,,,,,,,,,,,,,,,,,,,,
