,,,,,,,,,"Number of form I-485, Applications to Register Permanent Residence or Adjust Status, by Category of              
Admission, Case Status, and USCIS Field Office or Service Center Location              
January 1 - March 31, 2017  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 USCIS Field Office or Service Center Location ,,, Applications by Category of Admission and Case Status ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,, Family-based ,,,,Employment-based received at service center1,,,,Humanitarian-based1,,,,Others1,,,, Total ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Total ,,,"89,229","65,959","8,960","292,086","30,897","27,948","1,855","138,347","46,119","33,524","1,061","113,278","9,870","6,642",846,"28,254","176,403","134,402","13,201","572,129",,,,,,,,,,,,,,,,,,,,,,,,
Field Office by State6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Field Office Code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Alaska ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Queens , QNS ,"1,958","1,215",205,"7,965",0,47,16,88,20,135,16,202,17,71,23,162,"1,995","1,468",260,"8,417",,,,,,,,,,,,,,,,,,,,,,,,
 North Carolina ,,, , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,
, Charlotte  , CLT ,814,603,93,"2,506",0,13,D,26,75,146,D,223,D,10,D,69,891,772,110,"2,824",,,,,,,,,,,,,,,,,,,,,,,,
, Raleigh , RAL ,844,817,63,"1,754",0,16,0,24,29,215,D,247,D,12,D,44,882,"1,060",66,"2,069",,,,,,,,,,,,,,,,,,,,,,,,
 Ohio ,,, , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,
, Cincinnati  , CIN ,300,210,30,687,0,D,0,13,D,20,0,28,0,D,D,22,307,239,32,750,,,,,,,,,,,,,,,,,,,,,,,,
, Cleveland  , CLE ,385,372,36,819,0,D,0,10,28,14,D,22,D,D,D,12,416,393,41,863,,,,,,,,,,,,,,,,,,,,,,,,
, Columbus , CLM ,375,322,57,814,0,D,0,10,11,D,D,48,D,D,D,25,387,336,65,897,,,,,,,,,,,,,,,,,,,,,,,,
 Oklahoma ,,, , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,
, Oklahoma City  , OKC ,472,310,43,"1,614",0,D,0,20,32,17,D,102,D,13,D,44,512,347,45,"1,780",,,,,,,,,,,,,,,,,,,,,,,,
 Oregon ,,, , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,
, Portland  , POO ,784,614,48,"2,185",0,10,D,26,63,75,D,194,0,D,D,17,847,706,54,"2,422",,,,,,,,,,,,,,,,,,,,,,,,
 Pennsylvania ,,, , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,
, Philadelphia , PHI ,"1,721","1,847",166,"5,142",0,19,D,85,149,84,D,370,10,21,D,66,"1,880","1,971",182,"5,663",,,,,,,,,,,,,,,,,,,,,,,,
, Pittsburgh  , PIT ,340,267,22,840,0,D,0,20,D,22,0,25,0,D,0,D,347,306,22,890,,,,,,,,,,,,,,,,,,,,,,,,
 Rhode Island ,,, , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,
, Providence  , PRO ,285,473,38,975,0,D,0,D,D,31,D,30,D,D,D,35,288,516,42,"1,042",,,,,,,,,,,,,,,,,,,,,,,,
 South Carolina ,,, , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,
, Charleston  , CHL ,323,294,39,"1,156",0,D,D,48,20,136,D,394,0,0,0,11,343,436,42,"1,609",,,,,,,,,,,,,,,,,,,,,,,,
, Greer , GRR ,179,133,19,392,0,D,D,D,17,D,0,25,D,D,0,12,197,139,20,438,,,,,,,,,,,,,,,,,,,,,,,,
 Tennessee ,,, , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,
, Memphis  , MEM ,792,603,39,"2,601",0,15,D,45,101,112,D,281,D,12,D,34,898,742,49,"2,961",,,,,,,,,,,,,,,,,,,,,,,,
 Texas ,,, , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,
, Dallas  , DAL ,"3,319","2,655",358,"11,420",0,42,17,178,393,71,15,786,21,40,D,569,"3,733","2,808",393,"12,953",,,,,,,,,,,,,,,,,,,,,,,,
, El Paso  , ELP ,845,694,65,"2,461",0,11,D,D,80,49,D,222,D,D,0,20,926,756,68,"2,708",,,,,,,,,,,,,,,,,,,,,,,,
, Harlingen  , HLG ,806,672,80,"2,580",0,D,0,D,17,53,0,89,D,21,D,67,831,750,85,"2,740",,,,,,,,,,,,,,,,,,,,,,,,
, Houston  , HOU ,"3,607","3,545",433,"15,963",0,80,D,205,"1,501",947,35,"3,604",22,43,24,117,"5,130","4,615",496,"19,889",,,,,,,,,,,,,,,,,,,,,,,,
, San Antonio  , SNA ,"1,997",923,103,"6,880",0,22,0,39,556,70,D,"1,339",14,12,23,175,"2,567","1,027",128,"8,433",,,,,,,,,,,,,,,,,,,,,,,,
 Utah ,,, , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,
, Salt Lake City  , SLC ,837,464,51,"1,905",0,11,D,20,27,D,D,57,D,D,D,29,868,492,57,"2,011",,,,,,,,,,,,,,,,,,,,,,,,
 Vermont ,,, , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,
, St. Albans  , STA ,58,127,12,164,0,D,0,D,D,D,D,D,0,D,0,0,59,137,15,168,,,,,,,,,,,,,,,,,,,,,,,,
 Virginia ,,, , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,
, Norfolk  , NOR ,580,478,53,"1,673",0,27,0,41,23,34,D,69,D,19,D,24,606,558,61,"1,807",,,,,,,,,,,,,,,,,,,,,,,,
 Washington ,,, , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,
, Seattle  , SEA ,"1,452",982,82,"4,259",0,24,D,82,15,36,D,95,10,15,D,29,"1,477","1,057",93,"4,465",,,,,,,,,,,,,,,,,,,,,,,,
, Spokane  , SPO ,88,268,18,293,0,D,0,0,D,43,0,22,D,D,0,D,94,317,18,318,,,,,,,,,,,,,,,,,,,,,,,,
, Yakima , YAK ,210,156,22,492,0,0,0,D,D,16,0,19,D,D,0,D,216,174,22,518,,,,,,,,,,,,,,,,,,,,,,,,
 Wisconsin ,,, , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,
, Milwaukee  , MIL ,511,216,44,"1,471",0,D,D,10,19,D,D,52,0,10,D,22,530,234,63,"1,555",,,,,,,,,,,,,,,,,,,,,,,,
 Guam ,,, , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,
, Hagatna , AGA ,139,149,23,388,0,0,0,D,0,0,0,D,0,D,0,D,139,150,23,401,,,,,,,,,,,,,,,,,,,,,,,,
 U.S. Virgin Islands ,,, , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,
