 USCIS Field Office or Service Center Location ,, Applications by Category of Admission and Case Status ,,,,,,,,,,,,,,,,,,,
,,Family-based1,Family-based1,Family-based1,Family-based1,Employment-based1,Employment-based1,Employment-based1,Employment-based1,Humanitarian-based1,Humanitarian-based1,Humanitarian-based1,Humanitarian-based1,Others1,Others1,Others1,Others1, Total , Total , Total , Total 
,,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5
,,,,,   ,,,,,,,,,,,,,,,,
 Total ,,"71,816","62,827","8,427","165,913","33,125","39,138","1,722","115,089","36,543","29,603","1,218","89,110","6,858","6,509",860,"16,484","148,342","138,077","12,227","386,596"
,,,,,,,,,,,,,,,,,,,,,
Field Office by State6,,,,,,,,,,,,,,,,,,,,,
, Memphis  ,642,620,58,"1,151", -   ,27, -   ,11,39,62, D ,115,13,48, D ,14,694,757,69,"1,291"
 Texas ,,,,,,,,,,,,,,,,,,,,,
, Dallas  ,"2,458","1,160",404,"7,499", -   ,47,14,46,70,38,11,452,33,73, D ,421,"2,561","1,318",433,"8,418"
, El Paso  ,722,796,72,"1,235", -   , D , -   , D ,30, D , D ,95, D , D , D ,11,758,812,75,"1,343"
, Harlingen  ,767,641,88,"1,617", -   , D , D , D ,13, D , D ,46,27,46,16,15,807,692,106,"1,681"
, Houston  ,"2,798","2,510",449,"4,905", -   ,61,13,14,484,104,26,"1,475",26,91,15,663,"3,308","2,766",503,"7,057"
, San Antonio  ,"1,533","1,430",122,"2,931", -   ,13, D ,29,159,34, D ,382,21,58,11,40,"1,713","1,535",136,"3,382"
 Utah ,,,,,,,,,,,,,,,,,,,,,
, Salt Lake City  ,646,698,58,"1,355", -   , D , -   , D , D ,11, -   ,31, -   ,11, D , D ,654,728,61,"1,392"
 Vermont ,,,,,,,,,,,,,,,,,,,,,
, St. Albans  ,62,69,14,224, -   , D , D , D , -   , D , -   , D , -   , -   , -   , -   ,62,72,16,238
 Virginia ,,,,,,,,,,,,,,,,,,,,,
, Norfolk  ,490,282,35,"1,029", -   ,15, D , D ,12,39, D ,52,14,21, D ,38,516,357,40,"1,126"
 Washington ,,,,,,,,,,,,,,,,,,,,,
, Seattle  ,"1,175",742,51,"2,577", -   ,25, D ,32,23,17, D ,71,14,33,11,59,"1,212",817,72,"2,739"
, Spokane  ,82,125,14,156, -   , D , -   , -   , D ,11, -   , D , D , D , -   , -   ,86,141,14,164
, Yakima ,149,256, D ,253, -   , -   , -   , -   , D ,20, -   ,13, D ,12, -   , D ,151,288, D ,271
 Wisconsin ,,,,,,,,,,,,,,,,,,,,,
, Milwaukee  ,441,365,52,917, -   , D , D ,10, D , D , -   ,31, D ,23, D , D ,452,405,60,959
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
 Guam ,,,,,,,,,,,,,,,,,,,,,
, Hagatna ,163,126,17,302, -   , D , D , D , -   , D , -   , D , -   , D , -   , -   ,163,131,21,306
 U.S. Virgin Islands ,,,,,,,,,,,,,,,,,,,,,
, Charlotte Amalie ,24,38, D ,48, -   , -   , -   , -   , -   , -   , D , D , -   , -   , -   , -   ,24,38, D ,52
, Christiansted  ,11, D , D ,30, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,11, D , D ,30
 Puerto Rico ,,,,,,,,,,,,,,,,,,,,,
, San Juan  ,146,181,28,403, -   , -   , D , D ,31,28, -   ,89, -   , -   , -   , D ,177,209,29,500
,,,,,,,,,,,,,,,,,,,,,
 Service Center ,,,,,,,,,,,,,,,,,,,,,
, California ,27,10, D ,359,"1,033",252,36,929, -   , D , D ,16, -   , -   , -   , -   ,"1,060",263,40,"1,304"
, Nebraska , -   , -   , -   , -   ,"13,984","15,051",422,"49,170","19,141","16,490",290,"42,014", D , D , D , D ,"33,130","31,542",716,"91,185"
, Texas , -   , -   , -   , -   ,"18,097","22,445",972,"62,527","6,236","5,976",218,"12,376", D , D ,16,37,"24,340","28,430","1,206","74,940"
, Vermont ,28, -   ,16,135,11, -   , -   ,11, -   ,1,1,9,"5,923","2,523",390,"12,679","5,962","2,524",407,"12,834"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
D  Data withheld to protect applicants' privacy.,,,,,,,,,,,,,,,,,,,,,
- Represents zero.,,,,,,,,,,,,,,,,,,,,,
"1  Family-based applications for legal permanent resident (LPR) status are based on a family relationship with an LPR or a U.S. citizen. Employment-based petitions are to 
",,,,,,,,,,,,,,,,,,,,,
"   request entrance to the U.S. for purposes of employment, either temporary or permanent resident, or for an entrepreneur who wishes to immigrate to the U.S. to create a commercial enterprise. ",,,,,,,,,,,,,,,,,,,,,
"   others includes all other I-485 applications, to include those filed under the Haitian Refugee Immigration Fairness Act (HRIFA) program and the Creation of Record for North American Indians born",,,,,,,,,,,,,,,,,,,,,
   in Canada based on Section 289 of the Immigration and Nationality Act (INA).,,,,,,,,,,,,,,,,,,,,,
2  The number of new applications received and entered into a case-tracking system during the reporting period.,,,,,,,,,,,,,,,,,,,,,
3  The number of applications approved during the reporting period.,,,,,,,,,,,,,,,,,,,,,
"4  The number of applications that were denied, terminated, or withdrawn during the reporting period.",,,,,,,,,,,,,,,,,,,,,
5  The number of applications awaiting a decision as of the end of the reporting period.,,,,,,,,,,,,,,,,,,,,,
6  Represents the office location. The office location does not reflect the complete area covered by the office’s jurisdiction. Please refer to USCIS.gov for office jurisdictions.,,,,,,,,,,,,,,,,,,,,,
"NOTE: 1) Some applications approved, denied, or awaiting a decision may have been received in previous reporting periods. ",,,,,,,,,,,,,,,,,,,,,
           2) The report reflects the most up-to-date estimate available at the time the report is generated.,,,,,,,,,,,,,,,,,,,,,
"Source:  Department of Homeland Security, U.S. Citizenship and Immigration Services, Performance Analysis System (PAS), October 2014",,,,,,,,,,,,,,,,,,,,,
